"ï.¿location"	"subject"	"measure"	"time"	"value"	"Country"
"ALB"	"INJURE"	"NBR"	2010	1716	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2004	104.07	"Albania"
"ALB"	"INJURE"	"NBR"	2009	1455	"Albania"
"ALB"	"INJURE"	"NBR"	2011	2150	"Albania"
"ALB"	"INJURE"	"NBR"	2007	1344	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2002	328	"Albania"
"ALB"	"INJURE"	"NBR"	2008	1251	"Albania"
"ALB"	"INJURE"	"NBR"	2006	1065	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2008	102.81	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2015	93.45	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2009	129.12	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2007	129.29	"Albania"
"ALB"	"INJURE"	"NBR"	2003	250	"Albania"
"ALB"	"DEATH"	"NBR"	2006	277	"Albania"
"ALB"	"INJURE"	"NBR"	2004	795	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2006	92.56	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2001	400	"Albania"
"ALB"	"INJURE"	"NBR"	2013	2503	"Albania"
"ALB"	"DEATH"	"NBR"	2007	384	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2005	102.28	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2000	428	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2014	91.23	"Albania"
"ALB"	"INJURE"	"NBR"	2002	228	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2003	363	"Albania"
"ALB"	"INJURE"	"NBR"	2012	2235	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2003	85.54	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2013	2075	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2001	97.05	"Albania"
"ALB"	"INJURE"	"NBR"	2005	872	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2004	801	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2010	121.18	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2014	1914	"Albania"
"ALB"	"DEATH"	"NBR"	2008	303	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2013	101.84	"Albania"
"ALB"	"INJURE"	"NBR"	2001	250	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2009	1465	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2010	1564	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2002	81.94	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2012	1870	"Albania"
"ALB"	"DEATH"	"NBR"	2005	308	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2011	110.85	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2015	1992	"Albania"
"ALB"	"DEATH"	"NBR"	2009	378	"Albania"
"ALB"	"DEATH"	"NBR"	2010	353	"Albania"
"ALB"	"DEATH"	"NBR"	2001	297	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2012	115.16	"Albania"
"ALB"	"INJURE"	"NBR"	2000	340	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2008	1208	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2011	1876	"Albania"
"ALB"	"DEATH"	"1000000HAB"	2000	90.64	"Albania"
"ALB"	"DEATH"	"NBR"	2003	260	"Albania"
"ALB"	"DEATH"	"NBR"	2004	315	"Albania"
"ALB"	"DEATH"	"NBR"	2000	280	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2005	850	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2006	1015	"Albania"
"ALB"	"ACCIDENTCASUAL"	"NBR"	2007	1254	"Albania"
"ALB"	"INJURE"	"NBR"	2015	2422	"Albania"
"ALB"	"DEATH"	"NBR"	2014	264	"Albania"
"ALB"	"DEATH"	"NBR"	2015	270	"Albania"
"ALB"	"INJURE"	"NBR"	2014	2353	"Albania"
"ALB"	"DEATH"	"NBR"	2012	334	"Albania"
"ALB"	"DEATH"	"NBR"	2013	295	"Albania"
"ALB"	"DEATH"	"NBR"	2011	322	"Albania"
"ALB"	"DEATH"	"NBR"	2002	250	"Albania"
"ARM"	"DEATH"	"NBR"	2010	294	"Armenia"
"ARM"	"INJURE"	"NBR"	2002	1213	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2012	104.42	"Armenia"
"ARM"	"DEATH"	"NBR"	2011	327	"Armenia"
"ARM"	"DEATH"	"NBR"	2008	407	"Armenia"
"ARM"	"DEATH"	"NBR"	2007	371	"Armenia"
"ARM"	"DEATH"	"NBR"	2003	252	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2004	1164	"Armenia"
"ARM"	"INJURE"	"NBR"	2005	1774	"Armenia"
"ARM"	"DEATH"	"NBR"	2015	346	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2005	1312	"Armenia"
"ARM"	"INJURE"	"NBR"	2001	1258	"Armenia"
"ARM"	"INJURE"	"NBR"	2004	1492	"Armenia"
"ARM"	"DEATH"	"NBR"	2009	325	"Armenia"
"ARM"	"DEATH"	"NBR"	2006	332	"Armenia"
"ARM"	"DEATH"	"NBR"	2001	237	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2009	109.57	"Armenia"
"ARM"	"INJURE"	"NBR"	2003	1294	"Armenia"
"ARM"	"DEATH"	"NBR"	2005	310	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2002	1002	"Armenia"
"ARM"	"DEATH"	"NBR"	2013	316	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2006	110.59	"Armenia"
"ARM"	"INJURE"	"NBR"	2006	2089	"Armenia"
"ARM"	"DEATH"	"NBR"	2004	259	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2013	105.61	"Armenia"
"ARM"	"DEATH"	"NBR"	2012	311	"Armenia"
"ARM"	"DEATH"	"NBR"	2000	214	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2015	3399	"Armenia"
"ARM"	"DEATH"	"NBR"	2002	235	"Armenia"
"ARM"	"INJURE"	"NBR"	2014	4479	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2004	85.59	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2002	77.12	"Armenia"
"ARM"	"DEATH"	"NBR"	2014	297	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2015	114.66	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2003	1025	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2014	3156	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2013	2824	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2014	98.8	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2009	2002	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2001	1021	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2000	937	"Armenia"
"ARM"	"ACCIDENTCASUAL"	"NBR"	2006	1574	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2010	99.21	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2003	82.99	"Armenia"
"ARM"	"INJURE"	"NBR"	2012	3739	"Armenia"
"ARM"	"INJURE"	"NBR"	2011	3354	"Armenia"
"ARM"	"INJURE"	"NBR"	2015	4738	"Armenia"
"ARM"	"INJURE"	"NBR"	2000	1163	"Armenia"
"ARM"	"DEATH"	"1000000HAB"	2008	136.81	"Armenia"
"ARM"	"INJURE"	"NBR"	2013	3994	"Armenia"
